Concat,Provider,Service,Ithrive,Description,Referral Process,Weblinks,Available for,Support Category,Age range,School Service,Referrer,Source,Reviewed?
MCH: Behaviour,MCH,Behaviour,Advice & Signposting,"Explore how to develop a positive relationship with your child, the appropriate expectations for behaviour in relation to age and managing common issues that arise.",No referral needed,https://www.youtube.com/watch?v=sfUQmMvbYCI,Parents (2.5- 6 years old),Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Anxiety/Depression/Low mood,Under 5's,N,No referral required,Recorded by MCH,y-Diane
MCH: Health Visitors,MCH,Health Visitors,"Getting Help
(goals based)","Every child and family is entitled to five health checks. In addition, we offer a pre-school entry review. The health visiting team offer packages of care when families require extra advice and support. The packages offered include maternal mental health; relationship issues; children with additional needs, feeding issues and nutrition, child development, childrens sleep, toileting and behaviour. We work closely with midwives, GPs, Paediatricians, local childrens centres and voluntary organisations to provide you with the best possible care. Our health visiting team provide advice and support on:
Safe sleep, toilet training, managing tantrums, safety to reduce accidents in the home and child health.
General parenting support. 
Family health and minor illnesses.
Growth, physical and emotional development. 
Importance of play, stimulation and learning through play.
Specific support on subjects such as postnatal depression and parental emotional wellbeing
Advice on immunisations and national screening programmes
Advice on family health and minor illnesses
Breastfeeding, introducing solids and health eating.
In addition, we offer healthy child clinics and postnatal groups. 
Support parents and refer onto relevant services.","If you would like to talk to a health visitor, please contact the duty line on 0300 123 3444, and choose option 4 between Monday to Friday 9am-5pm.",https://www.medwaycommunityhealthcare.nhs.uk/our-services/a-z-services/health-visiting ,0-5 years,Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Anxiety/Depression/Low mood,Under 5's,N,Self/Professional referral,Commissioned,y-Diane
MCH: Core Standards,MCH,MCH Core Standards,Advice & Signposting,MCH have formulated a set of aspirational standards that schools are encouraged to work towards so that they become experts in understanding their pupils needs.,https://www.medwaycommunityhealthcare.nhs.uk/our-services/self-help/speech-and-language-resources/core-standards/,,Schools,Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Wellbeing,All ages,Y,No referral required,Commissioned,y-Diane
MCH: School nursing 1:1 ,MCH,School nursing 1:1 ,"Getting Help
(goals based)","health assessments to children as well as advice and support for children and parents around health issues such as continence, behaviour, sleep and emotional health.",https://www.medwaycommunityhealthcare.nhs.uk/application/files/3616/1901/3959/School_health_referral_form.pdf,https://www.medwaycommunityhealthcare.nhs.uk/our-services/a-z-services/child-health-service/school-nursing ,Schools,Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Anxiety/Depression/Low mood,All ages,Y,Self/Professional referral,Commissioned,y-Diane
MCH: School nursing group work,MCH,School nursing group work,Thriving,We also provide support with puberty sessions and public health promotion. Schools will be required to have met core standards before a referral is made,https://www.medwaycommunityhealthcare.nhs.uk/application/files/3616/1901/3959/School_health_referral_form.pdf,,Schools,Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Anxiety/Depression/Low mood,All ages,Y,Self/Professional referral,Commissioned,y-Diane
MCH: School nursing teacher training,MCH,School nursing teacher training,Thriving,"we offer support to schools around healthcare plans, advice on anaphylaxis, and epilepsy awareness and other public health promotion",https://www.medwaycommunityhealthcare.nhs.uk/application/files/3616/1901/3959/School_health_referral_form.pdf,,Schools,Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Anxiety/Depression/Low mood,All ages,Y,Self/Professional referral,Commissioned,y-Diane
MCH: Sensory processing,MCH,Sensory processing,Advice & Signposting,"This three part, online course focuses on sensory processing; what does it all mean; what it is, and how and when difficulties in your child may present themselves to them and you.",No referral needed,https://www.medwaycommunityhealthcare.nhs.uk/our-services/a-z-services/child-health-service/parent-support-services/sensory-processing-online-course,All,Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Anxiety/Depression/Low mood,All ages,N,No referral required,Recorded by MCH,y-Diane
MCH: Support with distressed behaviour,MCH,Support with distressed behaviour,Advice & Signposting,A Parent Education programme around behaviour that can be completed at home in your own time. The course is available in two sessions and will explain what normal behaviour is and identifies challenging behaviour and ways to manage it.,No referral needed,https://www.medwaycommunityhealthcare.nhs.uk/our-services/a-z-services/child-health-service/school-health/behaviour/behaviour-awareness-courses,All,Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Anxiety/Depression/Low mood,All ages,N,No referral required,Recorded by MCH,y-Diane
Medway Council: Complex Health Funding Panel ,Medway Council,Complex Health Funding Panel ,Risk Support,For children and young people whose needs require specialist packages above and beyond CAMHS support and intervention. The panel explores funding requests to put in place additional support.,email CHFP@medway.gov.uk to request application form,,All,"Anxiety/Depression/Low mood; Special Educational Needs and Disability/ Autism/ADHD; Trauma/Victim support; Behaviour; Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder; Health",All ages,N,Professional referral,Internal Service,y-Diane
Medway Council: DICE,Medway Council,DICE,Advice & Signposting,"DICE is a 4 week parenting support programme. It provides families with information, advice and support that can help them to provide a safe and protective environment for their child or young person. It will enable them to have a greater understanding, be more tolerant and nurturing to their child at risk.",Please discuss with your Family Solutions or Youth Justice worker.,https://www.medway.gov.uk/info/200170/children_and_families/322/early_help_for_families/2,Ages 8-15,Behaviour,Primary school age and Secondary School age,N,Professional referral,Medway internal,y-Diane
Medway Council: Drug and Alcohol services,Medway Council,Drug and Alcohol services,Advice & Signposting,For support with drug and alcohol misuse in visit www.medway.gov.uksubstancemisuse,signposting link to various services,https://www.medway.gov.uk/substancemisuse,All,Health,All ages,N,No referral required,Internal Service,y-Diane
Medway Council: EBSA Medway ,Medway Council,EBSA Medway ,"Getting Help
(goals based)","Support to childrenyoung people who have experience challenges in attending school due to negative feeling such as anxiety. Medway Virtual school, in partnership with Medway Educational Psychology service, Medway SEND, Partnership Commissioning and Public Health have commissioned an EBSA training programme for all Medway School Staff. On completion of the training the Educational Psychologist team can support with the Whole School Approach Audit and provide additional supportsupervision groups depending on your school needs.",Weblink below to access training. On completion a member of the Educational Psychology service will be in touch. To attend any supervision groups following completion of the training please email ebsa.eps@medway.gov.uk,https://www.edpsyched.co.uk/ebsa-initiative-headteacher-medway,Schools,Anxiety/Depression/Low mood,Primary school age and Secondary School age,Y,Professional referral,Internal Service,y-Diane
Medway Council: Family Information Services,Medway Council,Family Information Services,Advice & Signposting,Provides information around different services available for families within Medway.,,https://admissions.medway.gov.uk/synergy/PublicEnquiry/contact.aspx,Schools,Family Support,All ages,N,No referral required,Internal Service,y-Diane
Medway Council: Healthy Way,Medway Council,Healthy Way,Advice & Signposting,"The Healthy Way programme is a free 12-week course designed for anyone who wants to improve,or support others to improve, their Health and Lifestyle.",see weblink for referral form,https://www.medway.gov.uk/homepage/52/healthy_way,Adults with a BMI over 25,Health,All ages,N,Self Referral,Medway internal,y-Diane
Medway Council: Medical Needs Outreach and Reintegration Service,Medway Council,Medical Needs Outreach and Reintegration Service,Risk Support,"Outreach provision aimed at supporting students to reintegrate back into their usual school provision following period of absence from education linked to medical conditions. Accessible to children and young people who have an illness which prevents them from attending school for 15 days or more (either one instance or over a year) from medical or mental health concern(s), and where suitable education is not otherwise being arranged.",email EOTAS@medway.gov.uk,,All,Special Educational Needs and Disability/ Autism/ADHD; Wellbeing,All ages,Y,Professional referral,Medway internal,y-Diane
Medway Council: Medway Family Hub,Medway Council,Medway Family Hub,Thriving,"The Medway Family Hub app, free mobile phone app, has been launched to provide support and advice to families across Medway. The app brings together a wealth of resources and information into one place to make it easier for families living in Medway to access help, support and advice.

It is aimed at all families, whether they are expecting, new parents or already raising children, and offers tailored information based on individual circumstances and needs.

The app allows local residents to find out about local events and activities and will also allow families in Medway to connect with each other and build their support network.

The Medway Family Hub app includes resources to help support childrens learning and development. It also has direct links to local services, making it easier to find the right help when needed, as well as information on health and wellbeing for the whole family.",download the app by searching for 'Medway Family Hub' or click the weblink below,https://www.medwayfamilyhub.co.uk/#/,Parents,Wellbeing; Family Support,All ages,N,No referral required,Medway internal,y-Diane
Medway Council: Medway Men in Sheds ,Medway Council,Medway Men in Sheds ,Thriving,"Medway men in sheds serves as vital sanctuary significantly contributing to the improvement of mens health and the well-being aimed at those not in work. Within the walls of these free shed sessions 5 days a week, tailored by the men to suit different interests, men find a haven for purposeful engagement, social interaction, and skill development. Studies have consistently shown that active participation in mens sheds leads to enhanced mental health, reduced stress levels, and a sense of belonging among members. As a result, these positive effects ripple through the wider community, promoting healthier opportunities, enabling positive changes for people and planet and alleviating the strain on primary healthcare services, including GP waiting times.","No referral process, apply for membership or email, phone or drop in for a chat.",https://www.sunlighttrust.org.uk/medway-men-in-sheds/,Aged 18+ and not in work/retired,Wellbeing,Post 16,N,No referral required,Internal Service,y-Diane
Medway Council: PBS Community of Practice ,Medway Council,PBS Community of Practice ,Thriving,"A group for anyone who wants to improve the support autistic individuals or those with a learning disability or complex needs receive with a focus around PBS. Sessions include presentations on PBS or other positive approaches that either compliment or could be used as part of a behaviour support plan, as well as opportunities to share learning, experience and networking",email diane.weekes@medway.gov.uk,https://www.medway.gov.uk/pbs ,All,Behaviour; Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,Internal Service,y-Diane
Medway Council: Trauma Informed Schools Programme,Medway Council,Trauma Informed Schools Programme,Thriving,This is a learning and development programme that allows schools to become more trauma informed,see weblink for referral form,https://connected.kca.training/register.cfm?form=Medway-Schools-TIP-2023-24,Schools,Trauma/Victim support,All ages,Y,Professional referral,Medway internal,y-Diane
Mid Kent Mind: Everyday mental health training,Mid Kent Mind,Everyday mental health training,Advice & Signposting,"This free, one hour training session from mid-Kent Mind aims to aims to help people better understand their own mental health and wellbeing, and learn how to apply that improved knowledge to the steps they can take to support others.",access via weblink,https://midkentmind.org.uk/training/everyday-mental-health/,All,Suicide support and suicide bereavement; Wellbeing; Anxiety/Depression/Low mood,All ages,N,Self Referral,Sara Moreland commissioned,y-Diane
Mid Kent Mind: Mental Health awareness training,Mid Kent Mind,Mental Health awareness training,Advice & Signposting,This session aims to build awareness of the prevalence of mental health and also help people to understand the particular problems and challenges which they or others may be facing.,access via weblink,https://midkentmind.org.uk/training/mental-health-awareness-training/,All,Anxiety/Depression/Low mood; Wellbeing,All ages,N,Self Referral,Sara Moreland commissioned,y-Diane
Mid Kent Mind: Youth Mental Health and Suicide Awareness course,Mid Kent Mind,Youth Mental Health and Suicide Awareness course,Advice & Signposting,"This course will give adults who work and care for young people, the skills and knowledge they need to start a conversation with someone who they believe is at risk. It will also provide information about other services in Kent and Medway which may be of help.",access via weblink,https://midkentmind.org.uk/training/youth-suicide-awareness/,All,Suicide support and suicide bereavement; Wellbeing; Anxiety/Depression/Low mood,All ages,N,Self Referral,Sara Moreland commissioned,y-Diane
National resource: ADFAM,National resource,ADFAM,advice & signposting,"is a national charity tackling the effects of alcohol, drug use or gambling on family members and friends through information and local support groups. They have a range of publications and resources for professionals.",,https://adfam.org.uk/,All,Health; Family Support,All ages,N,Self Referral,recommended on local offer,y-Diane
National resource: Altogether extraordinary,National resource,Altogether extraordinary,advice & signposting,An online and in-person support group for carers of children who are Neurodiverse. No diagnosis necessary . All welcome.,,https://www.facebook.com/AltogetherExtraordinary/?form=MY01SV&OCID=MY01SV,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,Kent local offer,y-Diane
National resource: Anna Freud,National resource,Anna Freud,Thriving,"provides support to schools, colleges and education professionals through online advice, guidance and resources. Schools in Mind is a free network for education professionals which shares practical, academic and clinical expertise about mental health and wellbeing in schools and FE colleges.",,https://www.annafreud.org/schools-and-colleges/,"For professionals, families and children and young people",Anxiety/Depression/Low mood; Bereavement; Wellbeing; Eating Disorder,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Antibullying alliance,National resource,Antibullying alliance,thriving,"A unique coalition of organisations and individuals, working together to achieve our vision to stop bullying and create safer environments in which children and young people can live, grow, play and learn. They provide expertise in relation to all forms of bullying between children and young people.",,https://anti-bullyingalliance.org.uk/tools-information,All,Bullying,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Anxiety Canada ,National resource,Anxiety Canada ,Advice & Signposting,Anxiety Canada's mission is to reduce the barrier of anxiety and related disorders so people can live the life they want. We offer trusted resources and programs to help individuals find relief from anxiety and obsessive compulsive disorder (OCD).,No referral needed,https://www.anxietycanada.com/,All,"Anxiety/Depression/Low mood; Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder",Secondary School Age and post 16,N,No referral required,Recommended by CAMHS,y-Diane
National resource: Anxiety uk,National resource,Anxiety uk,Advice & Signposting,"Anxiety uk helps those suffering with anxiety disorders they offer self help groups, counselling, phone self help groups and email support",phone service: 08444775774 weekdays 9:30 - 17:30 text service 07537416905,https://www.anxietyuk.org.uk/,All,Anxiety/Depression/Low mood,All ages,N,Self Referral,YMHFA Manual,y-Diane
National resource: Around the Dinner Table,National resource,Around the Dinner Table,advice & signposting,"Free service provided for parents of those suffering from eating disorders. Moderated by kind, experienced parent caregivers trained to guide you in how to use the forum and how to find resources to help you support your family member",,https://www.aroundthedinnertable.org/,All,Family Support; Eating Disorder,All ages,N,No referral required,NHS recommended,y-Diane
National resource: At a loss ,National resource,At a loss ,Advice & Signposting,Support with signposting to national and local services,,https://www.ataloss.org/,All,Bereavement,All ages,N,No referral required,,y-Diane
National resource: Autistica,National resource,Autistica,Advice & Signposting,"Autistica is an autism research and campaigning charity. They provide some information and resources in relation to suicide, including supporting mental health and coping with uncertainty. They have produced a helpful guide on: Supporting autistic children and young people through crisis.",No referral process,https://www.autistica.org.uk/what-is-autism/suicide-and-autism,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,K&m Suicide autism & suicide doc,y-Diane
National resource: Baby Loss awarness Alliance,National resource,Baby Loss awarness Alliance,"Getting Help
(goals based)",A range of different support offers that help provide the right support for you if you have suffered a baby loss.,,https://babyloss-awareness.org/support/,All,Bereavement; Family Support,All ages,N,Self Referral,NHS recommended,y-Diane
National resource: Barnardo�s Education Community,National resource,Barnardo�s Education Community,thriving,"an online resource to help support teachers, lecturers and staff working in the education sector. A one stop shop where educators can go for trauma-informed resources, support and advice about how to help children and young people cope with any issues they are experiencing.",,https://www.educators-barnardos.org.uk/,All,Trauma/Victim support,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Barnardo's Believe in Children,National resource,Barnardo's Believe in Children,Advice & Signposting,"Provide a range of services to help and support families across the UK, working with organisations and professionals so that children get the best start in life.",,https://www.barnardos.org.uk,All,Wellbeing,All ages,N,No referral required,tonic signposting document,y-Diane
National resource: BBC Bitesize,National resource,BBC Bitesize,advice & signposting,"offers support, advice and tips to children and young people on a host of areas including mental health, wellbeing, resilience, identity and healthy relationships.",,https://www.bbc.co.uk/bitesize/collections/life-and-wellbeing/1,All,Anxiety/Depression/Low mood; Wellbeing,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: BEAT,National resource,BEAT,Advice & Signposting,"Beat is the UKs leading charity that helps to support people who are affected by eating disorders.

Their website has a wide range of information on different eating disorders including anorexia, bulimia, binge eating disorder and other eating and feeding problems.

They have lots of information on how to cope and recovery. As well as this they have information on how to support someone who is going experiencing an eating disorder. They have helplines as well as one-to-one web chats if you feel more comfortable with that.","Helpline: 0808 801 067
Youthline: 0808 801 0711
Studentline: 0808 801 0811
Email: help@beateatingdisorders.org.uk",https://www.beateatingdisorders.org.uk/,All,Eating Disorder,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
National resource: BEAT Parents,National resource,BEAT Parents,advice & signposting,"Skills workshops for carers and those supporting someone with an eating disorder. 
Online support groups for both those suffering and for carers including various chat rooms
 A booklet for parents, families, friends and carers can be accessed here which covers information about eating disorders and treatment and offers guidance on how you might approach the subject if youre worried about someone you know.
 The BEAT helpline encourages and supports people to access early treatment
 Tips poster: spotting the first signs and symptoms is extremely important and this poster provides tips on how to spot the very first signs of an eating disorder.
 Directory of local services: https:helpfinder.beateatingdisorders.org.uk Peer coaching: https:www.beateatingdisorders.org.uksupport-servicesecho-peer-coaching",,"https://www.beateatingdisorders.org.uk/get-information-and-support/support-someone-else/support-for-carers/#:~:text=Support%20for%20Carers%20Beat%20has%20published%20guidance%20encouraging,needs%20and%20offering%20access%20to%20peer-to-peer%20support%20programmes.",All,Family Support; Eating Disorder,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: BEAT school resources,National resource,BEAT school resources,Thriving,"Spot the Signs appeal includes:
 Discussion-starter film including Know the First Signs 
 Teachers Guide with short tutorial-plan
 Assembly plan",,https://www.beateatingdisorders.org.uk/,All,Eating Disorder,All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: BECOME,National resource,BECOME,Advice & Signposting,"A friendly helpline for children in care and young care leavers. You can call or email to get help, support, advice, guidance  or just to get in touch with someone to listen to you. Our Care Advice team are here to help you with what you need and treat you in the way you deserve to be treated  with respect and understanding. Speak to the dedicated Care Advice team who have extensive knowledge about the care system and help care-experienced young people who face difficult situations every single day. The friendly team will listen without judgement, and help you with the issue you may be facing.",Call 08000232033 or email advice@becomecharity.org.uk or use the online contact form,https://becomecharity.org.uk/get-support/care-advice-line/,Children in Care/Care leavers,Bullying; Anxiety/Depression/Low mood; Behaviour; Wellbeing; Social Care,All ages,N,Self Referral,Medway Care leavers services and information guide,y-Diane
National resource: Beech House,National resource,Beech House,"Getting Help
(goals based)","Offers free, confidential healthcare and compassionate support to people of all ages in Kent and Medway that have experienced sexual assault or rape in their lifetime.",Call for support and to discuss your options for an in-person appointment and/ or referrals,"https://beechhousesarc.org/#:~:text=Sexual%20Assault%20Referral%20Centre,every%20day%20of%20the%20year",All,Trauma/Victim support,All ages,N,Self Referral,tonic signposting document,y-Diane
National resource: Beyond Cove,National resource,Beyond Cove,Thriving,Clinically approved to help you self-manage your mental health using music therapy principles in an easy and enjoyable way.,,https://cove-app.com/,All,Wellbeing,All ages,N,No referral required,ch team SH PowerPoint,y-Diane
National resource: Blurt it out,National resource,Blurt it out,Advice & Signposting,can help you if youre struggling with depression. A range of support services that can help see you through tough times.,,https://www.blurtitout.org/,Aged 16+,Anxiety/Depression/Low mood,Post 16,N,No referral required,ICB z-card,y-Diane
National resource: Calm Harm App,National resource,Calm Harm App,Advice & Signposting,"The Calm Harm app provides some immediate activities and techniques to help you break the cycle of self-harm behaviour and explore underlying trigger factors; the app supports you in building a safety net of helpful thoughts, behaviours, and access to supportive people, as well as providing the opportunity to journal and self-reflect. The Calm Harm app also signposts to help.",No referral needed,https://calmharm.stem4.org.uk,ages 13+,Self harm; Anxiety/Depression/Low mood,Secondary School Age and post 16,N,No referral required,Recommended by CAMHS and YMHFA Manual,y-Diane
National resource: CALM zone,National resource,CALM zone,Advice & Signposting,"CALM runs a free and confidential helpline and web chat 7 hours a day, 7 days a week for anyone who needs to talk through any problems.

They aim to reduce the rates of suicide by providing a listening ear.

As well as helping people who are going through crisis, they also help to support those who are bereaved by suicide.

They also provide resources and advice regarding specific issues and concerns you may have, as well as other organisations who may be able to provide you with additional help.",Phone: 0800 58 58 58,https://www.thecalmzone.net/,All,"Anxiety/Depression/Low mood; Homelessness, finance, employment; Bereavement; Suicide support and suicide bereavement",All ages,N,Self Referral,YMHFA Manual,y-Diane
National resource: Charlie Waller Trust,National resource,Charlie Waller Trust,advice & signposting,"offers advice, guidance and resources for schools and education professionals to support children and young peoples mental health and wellbeing. The website also includes resources for parents and carers and young people including practical advice and information and workshops.",,https://charliewaller.org/,Professionals & parents,Anxiety/Depression/Low mood; Wellbeing; Eating Disorder; Family Support; Health,All ages,Y,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Child Bereavement UK,National resource,Child Bereavement UK,advice & signposting,"helps children and young people (up to age 25), parents, and families, to rebuild their lives when a child grieves or when a child dies. They also provide training to professionals.",,https://www.childbereavementuk.org/,All,Bereavement,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Childhood Bereavement Network,National resource,Childhood Bereavement Network,Advice & Signposting,"The Childhood Bereavement Network shares the vision that all children and young people in the UK, together with their caregivers, can easily get a choice of high quality local and national information, guidance and support, to help them to manage the impact of death on their lives.

They can provide you with information on how to cope with any emotions you may feel associated with the death of a loved one.",cbn@ncb.org.uk,http://www.childhoodbereavementnetwork.org.uk/,All,Bereavement,All ages,N,Self Referral,YMHFA Manual,y-Diane
National resource: ChildLine,National resource,ChildLine,Advice & Signposting,1-2-1 chat about anything worrying individuals,call 0800 1111 or use the link to start a chat; https://www.childline.org.uk/get-support/1-2-1-counsellor-chat/,https://www.childline.org.uk/,All,Anxiety/Depression/Low mood,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
National resource: Citizen's advice,National resource,Citizen's advice,Advice & Signposting,"We give people the knowledge and confidence they need to find their way forward - whoever they are, and whatever their problem. Our national charity and network of local charities offer confidential advice online, over the phone, and in person, for free.",https://www.citizensadvice.org.uk/about-us/contact-us/contact-us/contact-us1/,https://www.citizensadvice.org.uk/,All,"Homelessness, finance, employment",All ages,N,Self Referral,national,y-Diane
National resource: Crisis tools,National resource,Crisis tools,advice & signposting,"Unique, co-produced learning guides to increase knowledge and confidence for anyone supporting young people in a mental health crisis. Crisis Tools is relevant to anyone who may find themselves supporting a young person in crisis including parents, carers and professionals.

The Crisis Tools website features a resource sharing hub and bite-sized learning guides aimed at improving your knowledge and understanding of young peoples experiences when getting help in crisis.",,https://crisistools.org.uk/,Age 0-25,Family Support; Anxiety/Depression/Low mood,All ages,N,No referral required,recommended by HEE,y-Diane
National resource: CXK,National resource,CXK,advice & signposting,"delivers a range of services to empower young people and adults across the South-East to build the skills and confidence they need to move into education, employment or training. They deliver careers information, advice and guidance; advocating skills development; and providing dedicated support to help people
progress into employment, training or learning. They can help parentscarers that have been made redundant, furloughed or just seeking careers advice, work or training opportunities to provide support and direction. Practical help is available with CV writing, interview skills and job searches.","To make an appointment please call the dedicated referral line on 01233 224 244  or email the customer name, telephone number and email address to nationalcareers@cxk.org and they will contact the customer to book them in.",https://www.cxk.org/our-services/,All,"Homelessness, finance, employment",All ages,N,Self Referral,Tamsyn Phillips reccomended/worked with for participation,y-Diane
National resource: Dandelion Time,National resource,Dandelion Time,advice & signposting,"The children we work with have often been affected by the harshest personal circumstances, having been traumatised by experiences including physical or sexual abuse, domestic violence, or neglect.  The emotional landscape for these children is often bleak, their difficulties culminating repeated exclusions or refusal to engage at school, and a breakdown in relationships at home.  They are often extremely isolated, and as a result of emotional trauma may be experiencing aggressive or withdrawn behaviour, or suffer from depression, anxiety or low self-esteem.  Referred children sometimes also have diagnoses of physical or emotional disorders including ADHD or Autistic Spectrum Disorders. Trauma itself has a dramatic effect on key areas of development in early childhood, leading to under-developed physical and sensory abilities and motor skills, or eating disorders.  We work with children to help them overcome these issues. NOTE: see financial contribution required",01622 814001; https://dandeliontime.org.uk//referrals/,https://dandeliontime.org.uk/,All,Anxiety/Depression/Low mood; Trauma/Victim support; Behaviour; Special Educational Needs and Disability/ Autism/ADHD,All ages,N,Self Referral,Approved by the group,y-Diane
National resource: Ditch the label,National resource,Ditch the label,advice & signposting,"a global youth charity, here to help young people aged 12 to 25 navigate the issues affecting them the most; from mental health and bullying to identity, Asian hate crimes and relationships",,https://www.ditchthelabel.org/,Age 12-25,Cultural Identity & Migration Support; Anxiety/Depression/Low mood; Bullying,Secondary School Age and post 16,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: Education support resources,National resource,Education support resources,Thriving,"Discover articles, videos and guides to help you and your organisation with mental health and wellbeing.",,https://www.educationsupport.org.uk/resources/,All,Anxiety/Depression/Low mood; Bereavement; Wellbeing,All ages,Y,No referral required,recommended by Anna Freud,y-Diane
National resource: Educational Action Challenging Homophobia (EACH),National resource,Educational Action Challenging Homophobia (EACH),advice & signposting,"offers advice and support online and through their freephone Helpline for children experiencing homophobic, biphobic or transphobic bullying or harassment.",call 0808 1000 143 open Monday to Friday 10am to 5pm,https://each.education/education-schools-training,All,LGBTQIA+; Bullying,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
National resource: Ellies Angels ,National resource,Ellies Angels ,Advice & Signposting,"a non-profit organisationcommunity mainly made up of young people, working with professionals, schools and health colleagues to better support childrens mental health through awareness. They have amazingly created an app called Better U, which can be accessed on app stores to download to a mobile. This app was created by young people for young people, and I would recommend this as an additional digital support in terms of signposting and resource.",Contact section on website,https://www.elliesangels.org,All,Anxiety/Depression/Low mood; Wellbeing,"Primary school age, Secondary School age and post 16",N,Self Referral,work with NHS regularly and in SH guidance,y-Diane
National resource: everyone's invited,National resource,everyone's invited,advice & signposting,"A movement committed to eradicating rape culture. Trigger warning for the survivor testimonies: Rape and sexual assault abuse (physical, mental, emotional, verbal, sexual), eating disorders, self-harm, suicide or suicidal ideation, violence, child abuse and paedophilia.",,https://www.everyonesinvited.uk,All,Trauma/Victim support; Eating Disorder; Self harm; Anxiety/Depression/Low mood,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
National resource: F.E.A.S.T.,National resource,F.E.A.S.T.,advice & signposting,A global community of parents and those who support parents who children have eating disorders.,,https://feast-ed.org/,All,Eating Disorder,All ages,N,No referral required,NHS recommended,y-Diane
National resource: Frank,National resource,Frank,advice & signposting,"Provides information on drugs, their effects and the law. It also offers support for parents and young people",,https://www.talktofrank.com/,All,Health,All ages,N,No referral required,Approved by the group,y-Diane
National resource: FREED,National resource,FREED,Thriving,"Free to NHS staff; Online platform consisting of 8 modules Module 
1: Introduction to FREED
Module 2: The FREED Service Model and Champion
Module 3: FREED Assessments
Module 4: The FREED Care Package
Module 5: Family Involvement
Module 6: The FREED Network
Module 7: Making a Business Case
Module 8: Implementation Success which are free to access.",,https://www.freedfromed.co.uk/freed-for-professionals,All,Eating Disorder,All ages,N,No referral required,NHS recommended,y-Diane
National resource: Grief Encounter,National resource,Grief Encounter,advice & signposting,"Offers support and resources for children, young people and professionals.",,https://www.griefencounter.org.uk/,All,Bereavement,All ages,N,Self Referral,recommended by BBC,y-Diane
National resource: Supporting pupils with medical conditions,National resource,Supporting pupils with medical conditions,Thriving,Guidance around supporting pupils with medical conditions,,http://www.gov.uk/government/uploads/system/uploads/attachment_data/file/349435/Statutory_guidance_on_supporting_pupils_at_school_with_medical_conditions.pdf,All,Special Educational Needs and Disability/ Autism/ADHD; Wellbeing,All ages,Y,No referral required,government site,y-Diane
National resource: Guide for referring CYP with Eating Disorders,National resource,Guide for referring CYP with Eating Disorders,advice & signposting,Healthy London Partnership has produced guidelines for primary care professionals about treating children and young people with eating disorders. The guidelines are being dispatched to GP practices across London to coincide with Eating Disorders Awareness Week.,,https://www.beateatingdisorders.org.uk/,All,Eating Disorder,All ages,N,No referral required,NHS recommended,y-Diane
National Resource: Heads Above The Waves ,National Resource,Heads Above The Waves ,Advice & Signposting,Heads Above The Waves is a not-for-profit organisation that raises awareness of depression and self-harm in young people.,"No referral process, information and advice",https://hatw.co.uk/helplines/ ,11-25 year olds,Anxiety/Depression/Low mood; Self harm,Secondary School Age and post 16,N,No referral required,ch team SH resource PowerPoint,y-Diane
National resource: Headspace for Educators,National resource,Headspace for Educators,Thriving,"Whether youre feeling inspired to connect more with your students or youre looking for a new way to bring calm to your classroom, Headspace can help students build healthy habits that last a lifetime. Better focus, less stress, and happier thoughts are just a few minutes away.",,https://www.headspace.com/educators,All,Behaviour; Wellbeing,All ages,Y,No referral required,YMHFA Manual,y-Diane
National resource: Healthy London partnership,National resource,Healthy London partnership,advice & signposting,Guidelines giving advice about spotting the signs of eating disorders and when to refer children and young people to local community eating disorder services for specialist support.,,https://www.healthylondon.org/wp-content/uploads/2020/03/Eating-Disorders-Advice_Nov-2019_Final-1.pdf,All,Eating Disorder,All ages,Y,No referral required,NHS recommended,y-Diane
